id,belief,true,ENPV,sd,N,normalized_value
1,LLL,LLL,457.454275328375,0.563120117724883,457.454275328375,1
2,LLL,LLH,445.037672884817,3.26278711690847,438.079705053257,1.01588288101754
3,LLL,LHL,367.44193598639,20.9503318512343,369.995789244912,0.993097615343858
4,LLL,LHH,321.941067554323,20.1685785166804,249.688042691512,1.28937318777447
5,LLL,HLL,186.88508849841,28.3941743221233,184.803714870784,1.0112626179029
6,LLL,HLH,165.449154521835,28.073176793584,161.239470669485,1.02610827134864
7,LLL,HHL,121.59156598508,25.7464782050167,165.581621206493,0.734330085060865
8,LLL,HHH,100.214877291359,26.1090441038746,147.529285249993,0.67928802828226
9,LLH,LLL,457.384167818715,0.637572338484501,457.454275328375,0.999846744224634
10,LLH,LLH,438.079705053257,4.55963706261603,438.079705053257,1
11,LLH,LHL,349.700895971445,18.8905182147006,369.995789244912,0.945148312863548
12,LLH,LHH,300.097512589221,23.5641496090171,249.688042691512,1.20188980358979
13,LLH,HLL,177.132654113348,28.8306057302069,184.803714870784,0.958490765389649
14,LLH,HLH,158.654441466472,29.0073021042606,161.239470669485,0.983967764268392
15,LLH,HHL,114.532728317576,22.9294232767275,165.581621206493,0.691699522465389
16,LLH,HHH,93.9092359815904,18.7205976132427,147.529285249993,0.636546403803546
17,LHL,LLL,456.721397164898,0.624729417151492,457.454275328375,0.998397920397726
18,LHL,LLH,434.982756393949,5.64610232358848,438.079705053257,0.992930627409614
19,LHL,LHL,369.995789244912,16.9390710166185,369.995789244912,1
20,LHL,LHH,317.564730407727,19.5947253039814,249.688042691512,1.27184596821113
21,LHL,HLL,180.695580687872,29.3821544603049,184.803714870784,0.977770283536863
22,LHL,HLH,170.789171511038,30.0387798176834,161.239470669485,1.05922681835844
23,LHL,HHL,126.067917938885,24.2178233575456,165.581621206493,0.7613641962212
24,LHL,HHH,106.415410997532,22.023388171864,147.529285249993,0.72131720029151
25,LHH,LLL,429.891864470091,0.802304151522753,457.454275328375,0.939748271368765
26,LHH,LLH,370.651032818109,8.06291803728515,438.079705053257,0.846081269099305
27,LHH,LHL,312.910391843976,16.9686319207795,369.995789244912,0.8457133863133
28,LHH,LHH,249.688042691512,16.8867770215075,249.688042691512,1
29,LHH,HLL,169.947823146702,26.7347263131981,184.803714870784,0.919612591475939
30,LHH,HLH,148.322422032867,21.1505330541901,161.239470669485,0.919889040921648
31,LHH,HHL,114.814832431406,18.4475163508145,165.581621206493,0.693403238806455
32,LHH,HHH,95.2609687315546,17.4388804319588,147.529285249993,0.645708874479613
33,HLL,LLL,457.555532650479,0.571477642986655,457.454275328375,1.00022134960271
34,HLL,LLH,444.319670690089,3.3890692139405,438.079705053257,1.01424390485305
35,HLL,LHL,361.094184272982,16.7445581207954,369.995789244912,0.975941334386276
36,HLL,LHH,314.506856096298,20.4287067627278,249.688042691512,1.25959918907639
37,HLL,HLL,184.803714870784,29.3914617846124,184.803714870784,1
38,HLL,HLH,164.868930903241,26.1433615740155,161.239470669485,1.02250975036501
39,HLL,HHL,113.512073266298,28.0042479665268,165.581621206493,0.685535462445676
40,HLL,HHH,99.1435969479219,21.1637209583878,147.529285249993,0.672026552422592
41,HLH,LLL,457.27375080928,0.68648235456405,457.454275328375,0.999605371446216
42,HLH,LLH,436.36029618039,4.55339812403452,438.079705053257,0.996075123195543
43,HLH,LHL,350.224178728149,18.9046378981631,369.995789244912,0.946562606679626
44,HLH,LHH,299.770215583796,20.5688275206958,249.688042691512,1.20057897988395
45,HLH,HLL,179.734644431581,22.7672039414095,184.803714870784,0.972570516546452
46,HLH,HLH,161.239470669485,26.6041530104113,161.239470669485,1
47,HLH,HHL,113.259561475608,24.7143575886342,165.581621206493,0.684010463542715
48,HLH,HHH,97.6796492763999,21.6680118010323,147.529285249993,0.662103453635519
49,HHL,LLL,433.774135619526,0.846597803341434,457.454275328375,0.948234958145597
50,HHL,LLH,449.07150351278,2.31680419796389,438.079705053257,1.02509086436266
51,HHL,LHL,427.296313494301,9.16778508711977,369.995789244912,1.15486804421836
52,HHL,LHH,393.36626149402,16.4033263332716,249.688042691512,1.57543091472755
53,HHL,HLL,201.862578887911,23.0864429000934,184.803714870784,1.09230801463626
54,HHL,HLH,194.819132394531,24.0056521888944,161.239470669485,1.20825956315547
55,HHL,HHL,165.581621206493,22.0515355580596,165.581621206493,1
56,HHL,HHH,148.28831008629,28.5557795320054,147.529285249993,1.00514490960226
57,HHH,LLL,436.795903638431,0.548601876927746,457.454275328375,0.954840575760027
58,HHH,LLH,445.903360231752,4.24484242575921,438.079705053257,1.01785897654753
59,HHH,LHL,426.122664958714,9.73797185516166,369.995789244912,1.15169598504985
60,HHH,LHH,374.986460373677,13.8623190676806,249.688042691512,1.50181985621542
61,HHH,HLL,204.111457328236,21.8464815633294,184.803714870784,1.10447702564287
62,HHH,HLH,192.562546761296,23.277828610882,161.239470669485,1.1942643197832
63,HHH,HHL,167.652533925935,25.1416635373569,165.581621206493,1.01250689964473
64,HHH,HHH,147.529285249993,26.0192067902781,147.529285249993,1
